title,video_id,published_at,channel_title
‘PUT UP OR SHUT UP’: Trump issues new warning about ending Russia-Ukraine war,8f1X0SV69IY,2025-04-14T02:15:03Z,Fox
&#39;DUMB EFFING INDIVIDUALS&#39;: Hegseth says jab points to how far Dems &#39;have fallen&#39; #shorts #democrats,YjqRgECFtFI,2025-04-13T21:00:33Z,Fox
Stephen A Smith considers 2028 run: &#39;Desperation in the party&#39;,chkOaDFeoMM,2025-04-08T18:30:45Z,Fox
Is &#39;Black Monday&#39; part of a bigger plan? Will it work? | Will Cain Show,68OgIApJtbE,2025-04-07T17:08:14Z,Fox
Mark Levin: We&#39;ve never seen anything like this,stvj5wR6mug,2025-04-06T01:15:04Z,Fox
Was Al Sharpton&#39;s DEI convention a funeral for the movement? #shorts #foxnews #dei,DeO3FNB956o,2025-04-04T19:56:16Z,Fox
Naval Academy trashes 400 DEI books after Trump puts schools on notice,9guaTvuLujQ,2025-04-04T19:00:06Z,Fox
Jasmine Crockett touts being DEI hire: &#39;I had no experience&#39;,OvWrQ8gevl0,2025-04-04T18:15:02Z,Fox
Jesse Watters: The country had to be saved from going over a cliff,E3La_X1icDA,2025-04-03T23:50:12Z,Fox
Jesse Watters: We can’t afford not to have tariffs,874yCdAyZx4,2025-04-02T22:00:11Z,Fox
Elon Musk sends chilling message to &#39;generals&#39; behind Tesla attacks: &#39;We&#39;re coming for them&#39;,uSn-ukcvvM8,2025-04-02T11:30:41Z,Fox
Mark Levin: Judges are eviscerating our republic,HzeUWilw11E,2025-03-31T08:00:13Z,Fox
Is Walz saying they lost cause they weren’t woke enough?: Gutfeld,R-gbXBs2X9Q,2025-03-29T12:30:22Z,Fox
IN DEI-NIAL: Walz SCORCHED for role as ‘false prophet of identity politics’,aPNyw_bTkWs,2025-03-29T01:15:00Z,Fox
Lisa Boothe: These are just losers,D4FSjUlH6xI,2025-03-28T20:00:14Z,Fox
Jesse Watters: Tom Homan has a &#39;sweet tooth&#39; for deportations,syqm5iuech0,2025-03-28T02:30:34Z,Fox
"NPR is basically &#39;white privilege,&#39; critics charge",vAm5uQcOLs4,2025-03-27T06:30:31Z,Fox
Supreme Court hears deportation appeal amid Trump&#39;s illegal immigration crackdown,AgTAUd1iT7w,2025-03-24T16:31:14Z,Fox
&#39;TREAD CAREFULLY&#39;: Bondi issues chilling warning to Dem over Elon Musk,r19QgTiTSbo,2025-03-23T19:00:38Z,Fox
