comment,likes,published_at
all this because of a foreign entity 🇮🇱,1,2025-04-16T13:34:07Z
"Harvard is in the right here! As an academic in higher education, the government should play no role in dictating what an institution should and should not teach. Keep in mind...those federal funds sent to universities are for government purposes. Universities have, and do, function without them. The only downside is that they can't conduct research that ultimately aids the U.S. government.",1,2025-04-16T13:33:01Z
"F... The Fascisme !!!
Don't give up...never!!!",0,2025-04-16T13:26:09Z
"We are witnessing our government’s transition from democracy to tyranny, and Trump and Co. are following the steps by the textbook.  Anybody really thinks he’ll be out in 4 yrs?",1,2025-04-16T13:25:39Z
Many of our leaders graduate from Harvard. Lots of the MAGA Republicans are graduates are graduates of Harvard and they are committing these policies that are harming America and the World. This is terrifying.,1,2025-04-16T13:19:24Z
"I do not agree with how Trump has treated Harvard.  Also, these universities are rich enough to look after themselves.",4,2025-04-16T13:18:15Z
Good for President Trump for addressing the left wing hatred that has become pervasive on US campuses.,2,2025-04-16T13:12:19Z
looks like harvard admins and students think they are bigger than american values and its constitution,0,2025-04-16T13:09:28Z
“Land of the free” 😂😂😂😂,1,2025-04-16T13:09:25Z
"..... how in the world does a school even obtain 2.2 billion in tax payers money??!!! THAT IS OBSCENE MISUSE OF FUNDING! And don't give me any of that ""well, you don't know what it takes to run a school like Harvard"" ...I absolutely do. This much government funding makes this a public school. This is nothing more than political payoffs and pig feeding. ...Would anyone else like a drink of koolaid??..anyone?",0,2025-04-16T13:09:03Z
Great. Don't give them a dime of taxpayers money. I'm sure there is plenty of other schools that could use the money.,1,2025-04-16T13:07:49Z
Next step will be forced closure.,0,2025-04-16T13:06:24Z
This should have been done long ago. They have plenty of money,2,2025-04-16T13:02:19Z
"Just keep in mind that Trump is a convicted felon and trying to dictate moral and intellectual values....while having support from a major political group.  Lol, it is wild work....America needs a better representative system of government and an actual working legal system.",0,2025-04-16T13:01:14Z
The US is now in the same league with Russia and China.,0,2025-04-16T12:49:09Z
Trump is demanding more power and control over Harvard than any leader should have over any elite institution. Harvard reputation would be destroyed if it submitted to Trumps authoritarian micromanagement.,0,2025-04-16T12:47:24Z
The 2 billion dollars would have been wasted on foreign arab students,2,2025-04-16T12:44:16Z
Media and universities will be main targets during his presidency. They want to make the church to work against itself.,0,2025-04-16T12:43:37Z
Columbia crumbled and kissed trump’s ring.,0,2025-04-16T12:39:27Z
How about removing the tax exempt status for US billionaires and politicized mega churches?,1,2025-04-16T12:37:51Z
"Trump Gov't wants to hold research money hostage while forcing a PRIVATE school due to a political agenda. ""The people won't forget!""",0,2025-04-16T12:37:16Z
"Harvard just has to go private, and then they can freely continue their Marxism indoctrination programs and continue to reject any merit based admissions.

While they are getting money from the state, they aren't private, and they need to comply with the state requests.",0,2025-04-16T12:27:30Z
"Any university receives governmental funding,then it can not be called private university. DEI is totally and absolutely discriminatory to white and Asian male students. If admission is based on meritocracy, it will automatically end up being equal amd diverse since there are outstanding students within every ethnic group and gender. Using a same standard is fair to all regardless of your skin color, your gender and ethnicity. This is common sense. DEI is the excuse of racism and discrimination, period! Why does NBC use DEI to hire basketball players?",0,2025-04-16T12:26:06Z
Havard doesn't say thank you,0,2025-04-16T12:14:05Z
"ahh free speech Vance style, please come to Europe again and tell us more about it.",0,2025-04-16T12:13:57Z
Waiting for Vance memes to overflow  where he requires Harward to say thank you.,18,2025-04-16T12:10:00Z
"If they want to promote beliefs that are contrary to most taxpayers wishes, they should pay for it out of their own pocket.  Why should my taxpayer dollars support institutions that promote socialism and antisemitic behavior?  Harvard and other supposedly higher education institutions has failed in their main mission of providing a broad classical education promoting a wide range of ideas. As far as I can see, they are a brainwashing institution.",0,2025-04-16T12:08:13Z
"Here’s the reality, the money does not belong to Harvard, it belongs to the Federal Government. If Harvard wants to tell the federal government to bugger, that’s their right, they’re private. If the federal government no longer wants to provide funding, it’s within their right.

What is the problem?",2,2025-04-16T11:58:33Z
2 Billion dollars ? Where does all this money comes and where does all this money goes. Harvard is an institution for foreign students and should be controlled like they do in China and Russia .,1,2025-04-16T11:57:48Z
"Both of our political parties see higher education as a political battleground and neither cares how this affects education broadly or the people involved. The previous administration saw political commissars installed at universities throughout our country! This one is, well, skipping the pleasantries and going straight for the purse in seeking their own political profit, and retribution.

Frankly this has me hoping my children don't want to attend any of the involved schools when the time comes. They won't protect their students from outside adult forces and their education is likely to represent the moral panic of the day as opposed to seeking a thoughtful education.",1,2025-04-16T11:46:18Z
TRUMP DICTATORSHIP ON THE MAKING 😂😂😂😂....GOOD LUCK USA 😂😂😂,1,2025-04-16T11:37:45Z
Don't abuse your freedom in way.,0,2025-04-16T11:37:17Z
"It’s a win win the university gets to do whatever it wants , and the taxpayers save billions",1,2025-04-16T11:33:22Z
"the fact they use "" anti-semitism "" as reason, is a cover for ideological domination, more government from the ""small government party""",2,2025-04-16T11:27:03Z
